Depth (m),Facies Code,Lithology
2026.2,2,Bituminous F-M Siltstone
2026.3,2,Bituminous F-M Siltstone
2026.4,2,Bituminous F-M Siltstone
2026.5,2,Bituminous F-M Siltstone
2026.6,2,Bituminous F-M Siltstone
2026.7,UNKNOWN,F-C Slightly dolomitic Siltstones
2026.8,UNKNOWN,F-C Slightly dolomitic Siltstones
2026.9,UNKNOWN,F-C Slightly dolomitic Siltstones
2027.0,UNKNOWN,F-C Slightly dolomitic Siltstones
2027.1,UNKNOWN,F-C Slightly dolomitic Siltstones
2027.2,UNKNOWN,F-C Slightly dolomitic Siltstones
2027.3,2,Bituminous F-M Siltstone
2027.4,UNKNOWN,Sandy F-C Siltstones
2027.5,UNKNOWN,Sandy F-C Siltstones
2027.6,UNKNOWN,Sandy F-C Siltstones
2027.7,UNKNOWN,Sandy F-C Siltstones
2027.8,UNKNOWN,Sandy F-C Siltstones
2027.9,UNKNOWN,Sandy F-C Siltstones
2028.0,UNKNOWN,Sandy F-C Siltstones
2028.1,UNKNOWN,Sandy F-C Siltstones
2028.2,UNKNOWN,Sandy F-C Siltstones
2028.3,UNKNOWN,Sandy F-C Siltstones
2028.4,UNKNOWN,Sandy F-C Siltstones
2028.5,UNKNOWN,Sandy F-C Siltstones
2028.6,UNKNOWN,Sandy F-C Siltstones
2028.7,UNKNOWN,Sandy F-C Siltstones
2028.8,UNKNOWN,Sandy F-C Siltstones
2028.9,UNKNOWN,Sandy F-C Siltstones
2029.0,UNKNOWN,Sandy F-C Siltstones
2029.1,UNKNOWN,Sandy F-C Siltstones
2029.2,UNKNOWN,Sandy F-C Siltstones
2029.3,UNKNOWN,Sandy F-C Siltstones
2029.4,UNKNOWN,Sandy F-C Siltstones
2029.5,UNKNOWN,Sandy F-C Siltstones
2029.6,UNKNOWN,Sandy F-C Siltstones
2029.7,UNKNOWN,Sandy F-C Siltstones
2029.8,UNKNOWN,Sandy F-C Siltstones
2029.9,UNKNOWN,Sandy F-C Siltstones
2030.0,UNKNOWN,Sandy F-C Siltstones
2030.1,UNKNOWN,Blank Space
2030.2,2,Bituminous F-M Siltstone
2030.3,2,Bituminous F-M Siltstone
2030.4,2,Bituminous F-M Siltstone
2030.5,2,Bituminous F-M Siltstone
2030.6,2,Bituminous F-M Siltstone
2030.7,2,Bituminous F-M Siltstone
2030.8,2,Bituminous F-M Siltstone
2030.9,2,Bituminous F-M Siltstone
2031.0,2,Bituminous F-M Siltstone
2031.1,2,Bituminous F-M Siltstone
2031.2,2,Bituminous F-M Siltstone
2031.3,UNKNOWN,F-C Slightly dolomitic Siltstones
2031.4,UNKNOWN,F-C Slightly dolomitic Siltstones
2031.5,UNKNOWN,F-C Slightly dolomitic Siltstones
2031.6,UNKNOWN,F-C Slightly dolomitic Siltstones
2031.7,UNKNOWN,F-C Slightly dolomitic Siltstones
2031.8,UNKNOWN,F-C Slightly dolomitic Siltstones
2031.9,UNKNOWN,F-C Slightly dolomitic Siltstones
2032.0,UNKNOWN,F-C Slightly dolomitic Siltstones
2032.1,1,Bituminous F-C Siltstone
2032.2,UNKNOWN,Sandy F-C Siltstones
2032.3,UNKNOWN,Sandy F-C Siltstones
2032.4,UNKNOWN,Sandy F-C Siltstones
2032.5,UNKNOWN,Sandy F-C Siltstones
2032.6,UNKNOWN,Sandy F-C Siltstones
2032.7,UNKNOWN,Sandy F-C Siltstones
2032.8,UNKNOWN,Sandy F-C Siltstones
2032.9,UNKNOWN,Sandy F-C Siltstones
2033.0,UNKNOWN,Sandy F-C Siltstones
2033.1,UNKNOWN,Sandy F-C Siltstones
2033.2,UNKNOWN,Sandy F-C Siltstones
2033.3,UNKNOWN,Sandy F-C Siltstones
2033.4,UNKNOWN,Sandy F-C Siltstones
2033.5,UNKNOWN,Sandy F-C Siltstones
2033.6,UNKNOWN,Sandy F-C Siltstones
2033.7,UNKNOWN,Sandy F-C Siltstones
2033.8,UNKNOWN,Sandy F-C Siltstones
2033.9,UNKNOWN,Sandy F-C Siltstones
2034.0,UNKNOWN,Sandy F-C Siltstones
2034.1,UNKNOWN,Sandy F-C Siltstones
2034.2,UNKNOWN,Sandy F-C Siltstones
2034.3,UNKNOWN,Sandy F-C Siltstones
2034.4,UNKNOWN,Sandy F-C Siltstones
2034.5,UNKNOWN,Sandy F-C Siltstones
2034.6,UNKNOWN,Sandy F-C Siltstones
2034.7,UNKNOWN,Sandy F-C Siltstones
2034.8,UNKNOWN,Sandy F-C Siltstones
2034.9,UNKNOWN,Sandy F-C Siltstones
2035.0,UNKNOWN,Sandy F-C Siltstones
2035.1,UNKNOWN,Sandy F-C Siltstones
2035.2,UNKNOWN,Sandy F-C Siltstones
2035.3,UNKNOWN,Sandy F-C Siltstones
2035.4,UNKNOWN,F-C Slightly dolomitic Siltstones
2035.5,UNKNOWN,F-C Slightly dolomitic Siltstones
2035.6,UNKNOWN,F-C Slightly dolomitic Siltstones
2035.7,UNKNOWN,F-C Slightly dolomitic Siltstones
2035.8,UNKNOWN,F-C Slightly dolomitic Siltstones
2035.9,UNKNOWN,F-C Slightly dolomitic Siltstones
2036.0,UNKNOWN,F-C Slightly dolomitic Siltstones
