From (m),To (m),Color Code,Lithofacies,Contact to next Surface
1944.963,1945.164,sandybrown,Bituminous F-C Siltstone,smooth
1945.174,1945.301,khaki,Sandy F-C Siltstone to Silty VF Sandstone,smooth
1945.311,1945.891,sandybrown,Bituminous F-C Siltstone,smooth
1945.902,1946.071,tan,Bituminous F-M Siltstone,smooth
1946.081,1946.461,sandybrown,Bituminous F-C Siltstone,smooth
1946.472,1946.640,tan,Bituminous F-M Siltstone,smooth
1946.651,1946.915,sandybrown,Bituminous F-C Siltstone,smooth
1946.925,1947.083,tan,Bituminous F-M Siltstone,smooth
1947.094,1947.210,khaki,Sandy F-C Siltstone to Silty VF Sandstone,smooth
1947.220,1947.526,sandybrown,Bituminous F-C Siltstone,smooth
1947.537,1947.653,tan,Bituminous F-M Siltstone,smooth
1947.664,1947.885,sandybrown,Bituminous F-C Siltstone,smooth
1947.896,1948.043,tan,Bituminous F-M Siltstone,smooth
1948.054,1948.328,sandybrown,Bituminous F-C Siltstone,smooth
1948.339,1948.507,tan,Bituminous F-M Siltstone,smooth
1948.518,1948.739,sandybrown,Bituminous F-C Siltstone,smooth
1948.750,1948.908,tan,Bituminous F-M Siltstone,smooth
1948.919,1949.035,sandybrown,Bituminous F-C Siltstone,smooth
1949.045,1949.393,tan,Bituminous F-M Siltstone,smooth
1949.404,1949.583,sandybrown,Bituminous F-C Siltstone,smooth
1949.594,1949.752,tan,Bituminous F-M Siltstone,smooth
1949.763,1950.047,sandybrown,Bituminous F-C Siltstone,smooth
1950.058,1950.248,tan,Bituminous F-M Siltstone,smooth
1950.258,1950.469,sandybrown,Bituminous F-C Siltstone,smooth
1950.480,1950.638,tan,Bituminous F-M Siltstone,rough
1950.649,1951.113,sandybrown,Bituminous F-C Siltstone,smooth
1951.123,1951.282,tan,Bituminous F-M Siltstone,smooth
1951.292,1951.429,sandybrown,Bituminous F-C Siltstone,smooth
1951.440,1951.630,tan,Bituminous F-M Siltstone,smooth
1951.640,1951.872,sandybrown,Bituminous F-C Siltstone,smooth
1951.883,1952.020,tan,Bituminous F-M Siltstone,smooth
1952.031,1952.263,sandybrown,Bituminous F-C Siltstone,smooth
1952.273,1952.706,tan,Bituminous F-M Siltstone,smooth
1952.716,1952.896,sandybrown,Bituminous F-C Siltstone,smooth
1952.906,1953.128,tan,Bituminous F-M Siltstone,smooth
1953.138,1953.275,sandybrown,Bituminous F-C Siltstone,smooth
1953.286,1953.571,tan,Bituminous F-M Siltstone,smooth
1953.581,1953.697,sandybrown,Bituminous F-C Siltstone,smooth
1953.708,1954.024,tan,Bituminous F-M Siltstone,smooth
1954.035,1954.172,sandybrown,Bituminous F-C Siltstone,smooth
1954.182,1954.351,tan,Bituminous F-M Siltstone,smooth
1954.362,1954.552,sandybrown,Bituminous F-C Siltstone,smooth
1954.562,1954.720,tan,Bituminous F-M Siltstone,smooth
1954.731,1954.868,sandybrown,Bituminous F-C Siltstone,smooth
1954.879,1955.090,tan,Bituminous F-M Siltstone,smooth
1955.100,1955.237,sandybrown,Bituminous F-C Siltstone,smooth
1955.248,1955.564,tan,Bituminous F-M Siltstone,smooth
1955.575,1955.754,sandybrown,Bituminous F-C Siltstone,smooth
1955.765,1956.050,tan,Bituminous F-M Siltstone,smooth
1956.060,1956.239,sandybrown,Bituminous F-C Siltstone,smooth
1956.250,1956.957,tan,Bituminous F-M Siltstone,smooth
1956.967,1957.442,sandybrown,Bituminous F-C Siltstone,smooth
1957.453,1957.621,tan,Bituminous F-M Siltstone,smooth
1957.632,1957.906,sandybrown,Bituminous F-C Siltstone,smooth
1957.917,1958.075,tan,Bituminous F-M Siltstone,smooth
1958.085,1958.339,sandybrown,Bituminous F-C Siltstone,smooth
1958.349,1958.729,tan,Bituminous F-M Siltstone,smooth
1958.739,1958.940,sandybrown,Bituminous F-C Siltstone,smooth
1958.950,1959.161,tan,Bituminous F-M Siltstone,smooth
1959.172,1959.383,sandybrown,Bituminous F-C Siltstone,smooth
1959.393,1959.562,tan,Bituminous F-M Siltstone,smooth
1959.573,1960.374,sandybrown,Bituminous F-C Siltstone,smooth
1960.385,1960.585,tan,Bituminous F-M Siltstone,smooth
1960.596,1960.786,sandybrown,Bituminous F-C Siltstone,smooth
1960.796,1961.018,tan,Bituminous F-M Siltstone,smooth
1961.028,1961.208,sandybrown,Bituminous F-C Siltstone,smooth
1961.218,1961.387,tan,Bituminous F-M Siltstone,smooth
1961.398,1961.588,sandybrown,Bituminous F-C Siltstone,smooth
1961.598,1961.767,tan,Bituminous F-M Siltstone,smooth
1961.777,1961.988,sandybrown,Bituminous F-C Siltstone,smooth
1961.999,1962.157,tan,Bituminous F-M Siltstone,rough
1962.168,1962.421,sandybrown,Bituminous F-C Siltstone,smooth
1962.431,1962.653,tan,Bituminous F-M Siltstone,smooth
1962.664,1962.885,sandybrown,Bituminous F-C Siltstone,smooth
1962.896,1963.138,tan,Bituminous F-M Siltstone,smooth
1963.149,1963.360,sandybrown,Bituminous F-C Siltstone,smooth
